sample,contig,mge(s),species,type_resistance,AMR,infos_amr,short_name,WHO_classif
ERR11865544,NODE_89_length_11072_cov_4.765738,gene:plasmid:131373,Leuconostoc lactis,Drugs,MLS,Macrolide-resistant_23S_rRNA_mutation,MLS23S,CIA ?
ERR11865544,NODE_89_length_11072_cov_4.765738,gene:plasmid:131373,Leuconostoc falkenbergense,Drugs,Oxazolidinone,Oxazolidinone-resistant_23S_rRNA_mutation,O23S,Authorized for use in humans only
ERR11865544,NODE_1_length_182698_cov_40.747594,gene:vir:3930;gene:vir:1043;gene:vir:1042;gene:plasmid:135980;gene:plasmid:135959;gene:vir:1047;gene:vir:94743;gene:proph:162966;gene:vir:1050;gene:vir:709;gene:vir:711;gene:vir:930;gene:vir:7383;gene:vir:7384;gene:vir:94733;gene:vir:1058;gene:proph:183109;gene:vir:1060;gene:vir:1061,Lactococcus lactis,Drugs,Multi-drug_resistance,Multi-drug_ABC_efflux_pumps,LMRD,HIA
ERR11865546,NODE_516_length_4308_cov_1.667304,gene:plasmid:131373,Leuconostoc falkenbergense,Drugs,Oxazolidinone,Oxazolidinone-resistant_23S_rRNA_mutation,O23S,Authorized for use in humans only
ERR11865546,NODE_3_length_107959_cov_10.938293,gene:plasmid:135980,Lactococcus lactis,Drugs,Multi-drug_resistance,Multi-drug_ABC_efflux_pumps,LMRD,HIA
ERR11865548,NODE_208_length_10774_cov_4.871419,gene:plasmid:131373,Leuconostoc citreum,Drugs,MLS,Macrolide-resistant_23S_rRNA_mutation,MLS23S,CIA ?
ERR11865548,NODE_208_length_10774_cov_4.871419,gene:plasmid:131373,Leuconostoc falkenbergense,Drugs,Oxazolidinone,Oxazolidinone-resistant_23S_rRNA_mutation,O23S,Authorized for use in humans only
ERR11865548,NODE_1_length_182698_cov_33.558774,gene:vir:3930;gene:vir:1043;gene:vir:1042;gene:plasmid:135980;gene:plasmid:135959;gene:vir:1047;gene:vir:94743;gene:proph:162966;gene:vir:1050;gene:vir:709;gene:vir:711;gene:vir:930;gene:vir:7383;gene:vir:7384;gene:vir:94733;gene:vir:1058;gene:vir:1059;gene:proph:183110;gene:vir:1061,Lactococcus lactis,Drugs,Multi-drug_resistance,Multi-drug_ABC_efflux_pumps,LMRD,HIA
ERR11865552,NODE_66_length_6839_cov_1.783820,gene:plasmid:117290,Leuconostoc citreum,Drugs,Aminoglycosides,Aminoglycoside-resistant_16S_ribosomal_subunit_protein,A16S,CIA
ERR11865552,NODE_66_length_6839_cov_1.783820,gene:plasmid:117290,Leuconostoc falkenbergense,Drugs,Oxazolidinone,Oxazolidinone-resistant_23S_rRNA_mutation,O23S,Authorized for use in humans only
ERR11865552,NODE_1_length_182698_cov_35.295638,gene:vir:3930;gene:vir:1043;gene:vir:1042;gene:plasmid:135980;gene:plasmid:135959;gene:vir:1047;gene:vir:94743;gene:proph:162966;gene:proph:183100;gene:vir:709;gene:vir:711;gene:vir:930;gene:vir:7383;gene:vir:7384;gene:vir:94733;gene:vir:1058;gene:vir:1059;gene:proph:183110;gene:vir:942,Lactococcus lactis,Drugs,Multi-drug_resistance,Multi-drug_ABC_efflux_pumps,LMRD,HIA
ERR11865554,NODE_170_length_7704_cov_1.849545,gene:plasmid:131373,Stenotrophomonas riyadhensis,Drugs,MLS,Macrolide-resistant_23S_rRNA_mutation,MLS23S,CIA ?
ERR11865554,NODE_170_length_7704_cov_1.849545,gene:plasmid:131373,Leuconostoc falkenbergense,Drugs,Oxazolidinone,Oxazolidinone-resistant_23S_rRNA_mutation,O23S,Authorized for use in humans only
ERR11865554,NODE_13_length_71016_cov_5.331885,gene:plasmid:135980,Lactococcus lactis,Drugs,Multi-drug_resistance,Multi-drug_ABC_efflux_pumps,LMRD,HIA
ERR11865556,NODE_93_length_11407_cov_3.199468,gene:plasmid:117290,Leuconostoc falkenbergense,Drugs,Aminoglycosides,Aminoglycoside-resistant_16S_ribosomal_subunit_protein,A16S,CIA
ERR11865556,NODE_93_length_11407_cov_3.199468,gene:plasmid:117290,Leuconostoc falkenbergense,Drugs,Oxazolidinone,Oxazolidinone-resistant_23S_rRNA_mutation,O23S,Authorized for use in humans only
ERR11865558,NODE_1_length_182698_cov_19.366800,gene:vir:3930;gene:vir:1043;gene:vir:1042;gene:plasmid:135980;gene:plasmid:135959;gene:vir:1047;gene:vir:94743;gene:proph:162966;gene:vir:1050;gene:vir:709;gene:vir:711;gene:vir:930;gene:vir:7383;gene:vir:7384;gene:vir:94733;gene:vir:1058;gene:vir:1059;gene:proph:183110;gene:vir:1061,Lactococcus lactis,Drugs,Multi-drug_resistance,Multi-drug_ABC_efflux_pumps,LMRD,HIA
ERR11865560,NODE_168_length_5648_cov_9.557870,gene:plasmid:139560;gene:plasmid:131185,Acetobacter orientalis,Drugs,MLS,Macrolide-resistant_23S_rRNA_mutation,MLS23S,CIA ?
ERR11865560,NODE_168_length_5648_cov_9.557870,gene:plasmid:139560;gene:plasmid:131185,Acetobacter orientalis,Drugs,Aminoglycosides,Aminoglycoside-resistant_16S_ribosomal_subunit_protein,A16S,CIA
ERR11865560,NODE_1_length_182698_cov_37.015457,gene:vir:3930;gene:vir:1043;gene:vir:1042;gene:plasmid:135980;gene:plasmid:135959;gene:vir:1047;gene:vir:94743;gene:proph:162966;gene:proph:183100;gene:vir:709;gene:vir:711;gene:vir:930;gene:vir:7383;gene:vir:7384;gene:vir:94733;gene:vir:1058;gene:vir:1059;gene:vir:1060;gene:vir:942,Lactococcus lactis,Drugs,Multi-drug_resistance,Multi-drug_ABC_efflux_pumps,LMRD,HIA
ERR14783384,NODE_41_length_131134_cov_96.647401,gene:plasmid:123887;gene:plasmid:139212,Pseudomonas bubulae,Drugs,Elfamycins,EF-Tu_inhibition,TUFAB,NA
ERR14783384,NODE_41_length_131134_cov_96.647401,gene:plasmid:123887;gene:plasmid:139212,Pseudomonas bubulae,Drugs,Rifampin,Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB,RPOB,CIA
ERR14783384,NODE_94_length_77434_cov_21.746220,gene:plasmid:125744,Pseudomonas fragi,Multi-compound,Biocide_and_metal_resistance,Biocide_and_metal_resistance_protein,RUVB,0
ERR14783384,NODE_65_length_101534_cov_18.979242,gene:plasmid:125744;gene:plasmid:89528,Pseudomonas helleri,Drugs,Aminocoumarins,Aminocoumarin-resistant_DNA_topoisomerases,PARE,Not medically important
ERR14783384,NODE_3_length_479119_cov_104.142762,gene:plasmid:145291,Pseudomonas bubulae,Biocides,Phenolic_compound_resistance,Phenolic_RND_efflux_pump,TRIC,0
ERR14783384,NODE_43_length_122839_cov_5.652780,gene:plasmid:146728;gene:plasmid:22247,Pseudomonas sp. WC2401,Drugs,Cationic_antimicrobial_peptides,Polymyxin_B_resistance_regulator,ARNA,HPCIA
ERR14783384,NODE_64_length_102752_cov_7.709749,gene:plasmid:154779,Pseudomonas helleri,Drugs,Cationic_antimicrobial_peptides,Polymyxin_B_resistance_regulator,ARNA,HPCIA
ERR14783384,NODE_8_length_258542_cov_92.085220,gene:plasmid:20845;gene:plasmid:125744,Pseudomonas bubulae,Drugs,Aminocoumarins,Aminocoumarin-resistant_DNA_topoisomerases,PARE,Not medically important
ERR14783384,NODE_8_length_258542_cov_92.085220,gene:plasmid:20845;gene:plasmid:125744,Pseudomonas bubulae,Drugs,Fluoroquinolones,Fluoroquinolone-resistant_DNA_topoisomerases,PARC,HPCIA
ERR14783384,NODE_8_length_258542_cov_92.085220,gene:plasmid:20845;gene:plasmid:125744,Pseudomonas bubulae,Multi-compound,Biocide_and_metal_resistance,Biocide_and_metal_resistance_protein,RUVB,0
ERR14783384,NODE_2_length_553249_cov_45.790290,gene:plasmid:21828;gene:plasmid:88994,Pseudomonas bubulae,Drugs,Multi-drug_resistance,Multi-drug_RND_efflux_pumps,MUXB,CIA
ERR14783384,NODE_45_length_122286_cov_19.613127,gene:plasmid:27818,Pseudomonas helleri,Multi-compound,Biocide_and_metal_resistance,Biocide_and_metal_resistance_protein,RUVB,0
ERR14783384,NODE_284_length_33406_cov_13.886475,gene:plasmid:28516,Pseudomonas putida,Drugs,Aminocoumarins,Aminocoumarin-resistant_DNA_topoisomerases,PARE,Not medically important
ERR14783384,NODE_284_length_33406_cov_13.886475,gene:plasmid:28516,Pseudomonas fragi,Drugs,Fluoroquinolones,Fluoroquinolone-resistant_DNA_topoisomerases,PARC,HPCIA
ERR14783384,NODE_57_length_107381_cov_7.385039,gene:plasmid:85748,Pseudomonas fragi,Multi-compound,Drug_and_biocide_resistance,Drug_and_biocide_RND_efflux_pumps,MEXE,HPCIA
ERR14783384,NODE_57_length_107381_cov_7.385039,gene:plasmid:85748,Pseudomonas fragi,Multi-compound,Drug_and_biocide_resistance,Drug_and_biocide_RND_efflux_pumps,MEXF,HPCIA
ERR14783384,NODE_7_length_284794_cov_55.275311,gene:proph:169464;gene:proph:179985;gene:proph:179984,Pseudomonas bubulae,Drugs,Fluoroquinolones,Fluoroquinolone-resistant_DNA_topoisomerases,GYRA,HPCIA
ERR14783384,NODE_9_length_258531_cov_9.033192,gene:proph:178296,Pseudomonas sp. WC2401,Drugs,Multi-drug_resistance,Multi-drug_RND_efflux_pumps,MUXB,CIA
ERR14783384,NODE_376_length_24690_cov_41.969181,gene:proph:184195;gene:proph:184194;gene:proph:184236,Pseudomonas sp. WC2401,Biocides,Multi-biocide_resistance,Multi-biocide_RND_efflux_pump,EMHB,0
ERR14783384,NODE_376_length_24690_cov_41.969181,gene:proph:184195;gene:proph:184194;gene:proph:184236,Pseudomonas sp. WC2401,Multi-compound,Drug_and_biocide_resistance,Drug_and_biocide_RND_efflux_pumps,EMHC,0
ERR14783384,NODE_16_length_203592_cov_68.501187,gene:proph:184236;gene:proph:175955;gene:proph:175950;gene:proph:175953;gene:proph:175954;gene:proph:184195;gene:proph:184194,Pseudomonas bubulae,Biocides,Multi-biocide_resistance,Multi-biocide_RND_efflux_pump,EMHB,0
ERR14783384,NODE_16_length_203592_cov_68.501187,gene:proph:184236;gene:proph:175955;gene:proph:175950;gene:proph:175953;gene:proph:175954;gene:proph:184195;gene:proph:184194,Pseudomonas bubulae,Multi-compound,Drug_and_biocide_resistance,Drug_and_biocide_RND_efflux_pumps,EMHC,0
ERR14783384,NODE_16_length_203592_cov_68.501187,gene:proph:184236;gene:proph:175955;gene:proph:175950;gene:proph:175953;gene:proph:175954;gene:proph:184195;gene:proph:184194,Pseudomonas bubulae,Biocides,Peroxide_resistance,peroxide_resistance_protein,SODB,0
ERR14783384,NODE_52_length_114409_cov_13.654408,gene:proph:184430;gene:proph:175953;gene:proph:184195;gene:proph:184194;gene:proph:184236;gene:proph:175955;gene:proph:184449,Pseudomonas helleri,Biocides,Multi-biocide_resistance,Multi-biocide_RND_efflux_pump,EMHB,0
ERR14783384,NODE_52_length_114409_cov_13.654408,gene:proph:184430;gene:proph:175953;gene:proph:184195;gene:proph:184194;gene:proph:184236;gene:proph:175955;gene:proph:184449,Pseudomonas helleri,Multi-compound,Drug_and_biocide_resistance,Drug_and_biocide_RND_efflux_pumps,EMHC,0
ERR14783385,NODE_30_length_131445_cov_229.100854,gene:plasmid:123887;gene:plasmid:139212,Pseudomonas bubulae,Drugs,Elfamycins,EF-Tu_inhibition,TUFAB,NA
ERR14783385,NODE_30_length_131445_cov_229.100854,gene:plasmid:123887;gene:plasmid:139212,Pseudomonas bubulae,Drugs,Rifampin,Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB,RPOB,CIA
ERR14783385,NODE_23_length_153442_cov_15.665610,gene:plasmid:137265;gene:plasmid:85748,Pseudomonas fragi,Multi-compound,Drug_and_biocide_resistance,Drug_and_biocide_RND_efflux_pumps,MEXE,HPCIA
ERR14783385,NODE_23_length_153442_cov_15.665610,gene:plasmid:137265;gene:plasmid:85748,Pseudomonas fragi,Multi-compound,Drug_and_biocide_resistance,Drug_and_biocide_RND_efflux_pumps,MEXF,HPCIA
ERR14783385,NODE_4_length_508296_cov_243.725379,gene:plasmid:145291,Pseudomonas bubulae,Biocides,Phenolic_compound_resistance,Phenolic_RND_efflux_pump,TRIC,0
ERR14783385,NODE_51_length_102421_cov_17.964758,gene:plasmid:154779,Pseudomonas helleri,Drugs,Cationic_antimicrobial_peptides,Polymyxin_B_resistance_regulator,ARNA,HPCIA
ERR14783385,NODE_1_length_906507_cov_102.557026,gene:plasmid:21828,Pseudomonas bubulae,Multi-compound,Drug_and_biocide_resistance,Drug_and_biocide_RND_efflux_pumps,MEXE,HPCIA
ERR14783385,NODE_1_length_906507_cov_102.557026,gene:plasmid:21828,Pseudomonas bubulae,Multi-compound,Drug_and_biocide_resistance,Drug_and_biocide_RND_efflux_pumps,MEXF,HPCIA
ERR14783385,NODE_12_length_270680_cov_12.866333,gene:plasmid:22247,Pseudomonas fragi,Drugs,Cationic_antimicrobial_peptides,Polymyxin_B_resistance_regulator,ARNA,HPCIA
ERR14783385,NODE_3_length_558099_cov_136.910576,gene:plasmid:26949;gene:plasmid:26360;gene:proph:173746;gene:proph:169464;gene:proph:179985;gene:proph:179984,Pseudomonas fragi,Drugs,Fluoroquinolones,Fluoroquinolone-resistant_DNA_topoisomerases,GYRA,HPCIA
ERR14783385,NODE_3_length_558099_cov_136.910576,gene:plasmid:26949;gene:plasmid:26360;gene:proph:173746;gene:proph:169464;gene:proph:179985;gene:proph:179984,Pseudomonas fragi,Drugs,Multi-drug_resistance,Multi-drug_RND_efflux_pumps,MUXB,CIA
ERR14783385,NODE_52_length_102398_cov_44.309267,gene:plasmid:27818,Pseudomonas helleri,Multi-compound,Biocide_and_metal_resistance,Biocide_and_metal_resistance_protein,RUVB,0
ERR14783385,NODE_2_length_573961_cov_220.955466,gene:plasmid:27818;gene:plasmid:125744;gene:plasmid:20845,Pseudomonas bubulae,Drugs,Aminocoumarins,Aminocoumarin-resistant_DNA_topoisomerases,PARE,Not medically important
ERR14783385,NODE_2_length_573961_cov_220.955466,gene:plasmid:27818;gene:plasmid:125744;gene:plasmid:20845,Pseudomonas bubulae,Drugs,Fluoroquinolones,Fluoroquinolone-resistant_DNA_topoisomerases,PARC,HPCIA
ERR14783385,NODE_2_length_573961_cov_220.955466,gene:plasmid:27818;gene:plasmid:125744;gene:plasmid:20845,Pseudomonas bubulae,Multi-compound,Biocide_and_metal_resistance,Biocide_and_metal_resistance_protein,RUVB,0
ERR14783385,NODE_272_length_33406_cov_28.978455,gene:plasmid:28516,Pseudomonas fragi,Drugs,Multi-drug_resistance,Multi-drug_RND_efflux_pumps,OPMH,NA
ERR14783385,NODE_272_length_33406_cov_28.978455,gene:plasmid:28516,Pseudomonas fragi,Drugs,Fluoroquinolones,Fluoroquinolone-resistant_DNA_topoisomerases,PARC,HPCIA
ERR14783385,NODE_7_length_409206_cov_181.922577,gene:proph:175950;gene:proph:175953;gene:proph:175954;gene:proph:184195;gene:proph:184194;gene:plasmid:22676;gene:plasmid:154897;gene:proph:184236;gene:proph:175955,Pseudomonas bubulae,Biocides,Multi-biocide_resistance,Multi-biocide_RND_efflux_pump,EMHB,0
ERR14783385,NODE_7_length_409206_cov_181.922577,gene:proph:175950;gene:proph:175953;gene:proph:175954;gene:proph:184195;gene:proph:184194;gene:plasmid:22676;gene:plasmid:154897;gene:proph:184236;gene:proph:175955,Pseudomonas bubulae,Multi-compound,Drug_and_biocide_resistance,Drug_and_biocide_RND_efflux_pumps,EMHC,0
ERR14783385,NODE_10_length_303933_cov_19.780580,gene:proph:178296,Pseudomonas sp. WC2401,Drugs,Multi-drug_resistance,Multi-drug_RND_efflux_pumps,MUXB,CIA
ERR14783385,NODE_367_length_24690_cov_99.003216,gene:proph:184195;gene:proph:184194;gene:proph:184236,Pseudomonas sp. WC2401,Biocides,Multi-biocide_resistance,Multi-biocide_RND_efflux_pump,EMHB,0
ERR14783385,NODE_367_length_24690_cov_99.003216,gene:proph:184195;gene:proph:184194;gene:proph:184236,Pseudomonas sp. WC2401,Multi-compound,Drug_and_biocide_resistance,Drug_and_biocide_RND_efflux_pumps,EMHC,0
ERR14783385,NODE_16_length_198358_cov_31.230731,gene:proph:184430;gene:proph:175953;gene:proph:184195;gene:proph:184194;gene:proph:184236;gene:proph:175955;gene:proph:184449,Pseudomonas helleri,Biocides,Multi-biocide_resistance,Multi-biocide_RND_efflux_pump,EMHB,0
ERR14783385,NODE_16_length_198358_cov_31.230731,gene:proph:184430;gene:proph:175953;gene:proph:184195;gene:proph:184194;gene:proph:184236;gene:proph:175955;gene:proph:184449,Pseudomonas helleri,Multi-compound,Drug_and_biocide_resistance,Drug_and_biocide_RND_efflux_pumps,EMHC,0
ERR14783386,NODE_288_length_33629_cov_92.311146,gene:plasmid:123887,Pseudomonas helleri,Drugs,Rifampin,Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB,RPOB,CIA
ERR14783386,NODE_288_length_33629_cov_92.311146,gene:plasmid:123887,Pseudomonas lundensis,Drugs,Rifampin,Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB,RPOB,CIA
ERR14783386,NODE_53_length_135499_cov_66.622891,gene:plasmid:125744;gene:plasmid:89528,Pseudomonas helleri,Drugs,Multi-drug_resistance,Multi-drug_RND_efflux_pumps,OPMH,NA
ERR14783386,NODE_53_length_135499_cov_66.622891,gene:plasmid:125744;gene:plasmid:89528,Pseudomonas helleri,Drugs,Multi-drug_resistance,Multi-drug_RND_efflux_pumps,OPMH,NA
ERR14783386,NODE_53_length_135499_cov_66.622891,gene:plasmid:125744;gene:plasmid:89528,Pseudomonas helleri,Drugs,Fluoroquinolones,Fluoroquinolone-resistant_DNA_topoisomerases,PARC,HPCIA
ERR14783386,NODE_79_length_102421_cov_29.374626,gene:plasmid:154779,Pseudomonas helleri,Drugs,Cationic_antimicrobial_peptides,Polymyxin_B_resistance_regulator,ARNA,HPCIA
ERR14783386,NODE_64_length_120846_cov_69.343550,gene:plasmid:27818,Pseudomonas helleri,Multi-compound,Biocide_and_metal_resistance,Biocide_and_metal_resistance_protein,RUVB,0
ERR14783386,NODE_205_length_45611_cov_6.745229,gene:plasmid:28516,Pseudomonas fragi,Drugs,Aminocoumarins,Aminocoumarin-resistant_DNA_topoisomerases,PARE,Not medically important
ERR14783386,NODE_205_length_45611_cov_6.745229,gene:plasmid:28516,Pseudomonas putida,Drugs,Aminocoumarins,Aminocoumarin-resistant_DNA_topoisomerases,PARE,Not medically important
ERR14783386,NODE_205_length_45611_cov_6.745229,gene:plasmid:28516,Pseudomonas fragi,Drugs,Fluoroquinolones,Fluoroquinolone-resistant_DNA_topoisomerases,PARC,HPCIA
ERR14783386,NODE_1_length_440318_cov_21.795332,gene:plasmid:83370,Pseudomonas bubulae,Biocides,Phenolic_compound_resistance,Phenolic_RND_efflux_pump,TRIC,0
ERR14783386,NODE_32_length_166579_cov_16.938931,gene:proph:175950;gene:proph:175953;gene:proph:175954;gene:proph:184195;gene:proph:184194;gene:proph:184236;gene:proph:175955,Pseudomonas fragi,Biocides,Multi-biocide_resistance,Multi-biocide_RND_efflux_pump,EMHB,0
ERR14783386,NODE_32_length_166579_cov_16.938931,gene:proph:175950;gene:proph:175953;gene:proph:175954;gene:proph:184195;gene:proph:184194;gene:proph:184236;gene:proph:175955,Pseudomonas fragi,Multi-compound,Drug_and_biocide_resistance,Drug_and_biocide_RND_efflux_pumps,EMHC,0
ERR14783386,NODE_44_length_148194_cov_53.136182,gene:proph:184430;gene:proph:175953;gene:proph:184195;gene:proph:184194;gene:proph:184236;gene:proph:175955;gene:proph:184449,Pseudomonas helleri,Biocides,Multi-biocide_resistance,Multi-biocide_RND_efflux_pump,EMHB,0
ERR14783386,NODE_44_length_148194_cov_53.136182,gene:proph:184430;gene:proph:175953;gene:proph:184195;gene:proph:184194;gene:proph:184236;gene:proph:175955;gene:proph:184449,Pseudomonas helleri,Multi-compound,Drug_and_biocide_resistance,Drug_and_biocide_RND_efflux_pumps,EMHC,0
ERR14783390,NODE_75_length_56059_cov_6.088322,gene:plasmid:123158,Bacillus tropicus,Drugs,Nucleosides,Streptothricin_acetyltransferase,SAT,CIA
ERR14783390,NODE_68_length_58554_cov_26.086484,gene:plasmid:141403,Bacillus cereus,Drugs,Rifampin,Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB,RPOB,CIA
ERR14783390,NODE_68_length_58554_cov_26.086484,gene:plasmid:141403,Bacillus mycoides,Drugs,Oxazolidinone,Oxazolidinone-resistant_23S_rRNA_mutation,O23S,Authorized for use in humans only
ERR14783390,NODE_68_length_58554_cov_26.086484,gene:plasmid:141403,Bacillus tropicus,Drugs,Lipopeptides,Daptomycin-resistant_beta-subunit_of_RNA_polymerase_RpoC,RPOCL,Authorized for use in humans only
ERR14783390,NODE_243_length_26236_cov_4.815772,gene:proph:172890;gene:vir:105016;gene:vir:6171;gene:vir:6173;gene:proph:182328;gene:proph:182329,Bacillus albus,Drugs,betalactams,Class_B_betalactamases,BC,Authorized for use in humans only
ERR14783391,NODE_1_length_777738_cov_17.185089,gene:plasmid:122188;gene:plasmid:122777;gene:plasmid:122162;gene:plasmid:122860;gene:plasmid:122777,Bacillus thuringiensis,Drugs,betalactams,Class_A_betalactamases,BLA1,Authorized for use in humans only 
ERR14783391,NODE_4_length_465217_cov_22.637507,gene:plasmid:123128;gene:plasmid:151379;gene:plasmid:138523;gene:plasmid:122720;gene:plasmid:123153;gene:plasmid:122880;gene:plasmid:122716;gene:plasmid:122717;gene:plasmid:122719;gene:plasmid:122722;gene:plasmid:122910;gene:plasmid:12587;gene:plasmid:122037;gene:plasmid:123138;gene:proph:182251;gene:plasmid:154206;gene:plasmid:122050;gene:plasmid:122054;gene:plasmid:122055;gene:proph:161065;gene:proph:172331;gene:plasmid:122796;gene:plasmid:122797;gene:plasmid:122798;gene:plasmid:122802;gene:plasmid:122806;gene:plasmid:122807;gene:plasmid:122808;gene:plasmid:122809;gene:proph:182237;gene:plasmid:122087;gene:plasmid:122720;gene:plasmid:122811;gene:plasmid:12550;gene:plasmid:12551;gene:plasmid:122035;gene:plasmid:122034;gene:plasmid:122959;gene:plasmid:122029;gene:plasmid:122028;gene:plasmid:154259;gene:plasmid:12560;gene:plasmid:12561;gene:plasmid:12562;gene:plasmid:12814;gene:plasmid:122022;gene:plasmid:12824;gene:plasmid:123068;gene:plasmid:154296;gene:plasmid:122959;gene:plasmid:154188;gene:plasmid:154189;gene:plasmid:12831;gene:plasmid:154184;gene:plasmid:12832;gene:plasmid:154292;gene:plasmid:154293;gene:plasmid:12582;gene:plasmid:12840;gene:plasmid:123029;gene:plasmid:151379;gene:plasmid:122721;gene:plasmid:122718;gene:plasmid:122745;gene:plasmid:123155;gene:plasmid:122879;gene:plasmid:122881;gene:plasmid:122882;gene:plasmid:122883;gene:plasmid:122884;gene:plasmid:122885;gene:plasmid:122814;gene:plasmid:122815;gene:plasmid:123152;gene:plasmid:154248;gene:plasmid:122104;gene:plasmid:122107;gene:plasmid:154155;gene:plasmid:123068;gene:plasmid:154264;gene:plasmid:12637;gene:plasmid:122863;gene:plasmid:122864;gene:plasmid:122865;gene:plasmid:122867;gene:plasmid:122924;gene:plasmid:123126;gene:plasmid:123124;gene:plasmid:151379,Bacillus sp. N5-665,Drugs,betalactams,Class_A_betalactamases,BLAZ,Authorized for use in humans only 
ERR14783391,NODE_4_length_465217_cov_22.637507,gene:plasmid:123128;gene:plasmid:151379;gene:plasmid:138523;gene:plasmid:122720;gene:plasmid:123153;gene:plasmid:122880;gene:plasmid:122716;gene:plasmid:122717;gene:plasmid:122719;gene:plasmid:122722;gene:plasmid:122910;gene:plasmid:12587;gene:plasmid:122037;gene:plasmid:123138;gene:proph:182251;gene:plasmid:154206;gene:plasmid:122050;gene:plasmid:122054;gene:plasmid:122055;gene:proph:161065;gene:proph:172331;gene:plasmid:122796;gene:plasmid:122797;gene:plasmid:122798;gene:plasmid:122802;gene:plasmid:122806;gene:plasmid:122807;gene:plasmid:122808;gene:plasmid:122809;gene:proph:182237;gene:plasmid:122087;gene:plasmid:122720;gene:plasmid:122811;gene:plasmid:12550;gene:plasmid:12551;gene:plasmid:122035;gene:plasmid:122034;gene:plasmid:122959;gene:plasmid:122029;gene:plasmid:122028;gene:plasmid:154259;gene:plasmid:12560;gene:plasmid:12561;gene:plasmid:12562;gene:plasmid:12814;gene:plasmid:122022;gene:plasmid:12824;gene:plasmid:123068;gene:plasmid:154296;gene:plasmid:122959;gene:plasmid:154188;gene:plasmid:154189;gene:plasmid:12831;gene:plasmid:154184;gene:plasmid:12832;gene:plasmid:154292;gene:plasmid:154293;gene:plasmid:12582;gene:plasmid:12840;gene:plasmid:123029;gene:plasmid:151379;gene:plasmid:122721;gene:plasmid:122718;gene:plasmid:122745;gene:plasmid:123155;gene:plasmid:122879;gene:plasmid:122881;gene:plasmid:122882;gene:plasmid:122883;gene:plasmid:122884;gene:plasmid:122885;gene:plasmid:122814;gene:plasmid:122815;gene:plasmid:123152;gene:plasmid:154248;gene:plasmid:122104;gene:plasmid:122107;gene:plasmid:154155;gene:plasmid:123068;gene:plasmid:154264;gene:plasmid:12637;gene:plasmid:122863;gene:plasmid:122864;gene:plasmid:122865;gene:plasmid:122867;gene:plasmid:122924;gene:plasmid:123126;gene:plasmid:123124;gene:plasmid:151379,Bacillus sp. N5-665,Drugs,betalactams,Class_A_betalactamases,BLAZ,Authorized for use in humans only 
ERR14783391,NODE_6_length_347281_cov_18.137138,gene:plasmid:128185,Bacillus paramobilis,Drugs,betalactams,Class_B_betalactamases,BCII,Authorized for use in humans only 
ERR14783391,NODE_3_length_570685_cov_34.346655,gene:plasmid:138538;gene:plasmid:122850;gene:plasmid:127957;gene:plasmid:123038,Bacillus wiedmannii,Drugs,betalactams,Class_A_betalactamases,BLAZ,Authorized for use in humans only 
ERR14783391,NODE_59_length_58445_cov_74.263829,gene:plasmid:141403,Bacillus mycoides,Drugs,Aminoglycosides,Aminoglycoside-resistant_16S_ribosomal_subunit_protein,A16S,CIA
ERR14783391,NODE_59_length_58445_cov_74.263829,gene:plasmid:141403,Bacillus tropicus,Drugs,Rifampin,Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB,RPOB,CIA
ERR14783391,NODE_59_length_58445_cov_74.263829,gene:plasmid:141403,Bacillus thuringiensis,Drugs,Lipopeptides,Daptomycin-resistant_beta-subunit_of_RNA_polymerase_RpoC,RPOCL,Authorized for use in humans only
ERR14783393,NODE_2_length_777403_cov_210.512562,gene:plasmid:122188;gene:plasmid:122777;gene:plasmid:122162;gene:plasmid:122860;gene:plasmid:122777,Bacillus thuringiensis,Drugs,betalactams,Class_A_betalactamases,BLA1,Authorized for use in humans only 
