sample,contig,mge(s),species,type_resistance,AMR,infos_amr,short_name,WHO_classif,coverage,count,mean_length,rpkm
ERR14783385,NODE_16_length_198358_cov_31.230731,gene:proph:184430;gene:proph:175953;gene:proph:184195;gene:proph:184194;gene:proph:184236;gene:proph:175955;gene:proph:184449,Pseudomonas helleri,Biocides,Multi-biocide_resistance,Multi-biocide_RND_efflux_pump,EMHB,0,31.230731,32349634,147.08614490043380398059,6.56358
ERR14783385,NODE_16_length_198358_cov_31.230731,gene:proph:184430;gene:proph:175953;gene:proph:184195;gene:proph:184194;gene:proph:184236;gene:proph:175955;gene:proph:184449,Pseudomonas helleri,Multi-compound,Drug_and_biocide_resistance,Drug_and_biocide_RND_efflux_pumps,EMHC,0,31.230731,32349634,147.08614490043380398059,6.56358
ERR14783386,NODE_288_length_33629_cov_92.311146,gene:plasmid:123887,Pseudomonas helleri,Drugs,Rifampin,Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB,RPOB,CIA,92.311146,26214735,147.63938422417773820715,23.851
ERR14783386,NODE_288_length_33629_cov_92.311146,gene:plasmid:123887,Pseudomonas lundensis,Drugs,Rifampin,Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB,RPOB,CIA,92.311146,26214735,147.63938422417773820715,23.851
ERR14783386,NODE_53_length_135499_cov_66.622891,gene:plasmid:125744;gene:plasmid:89528,Pseudomonas helleri,Drugs,Multi-drug_resistance,Multi-drug_RND_efflux_pumps,OPMH,NA,66.622891,26214735,147.63938422417773820715,17.2138
ERR14783386,NODE_53_length_135499_cov_66.622891,gene:plasmid:125744;gene:plasmid:89528,Pseudomonas helleri,Drugs,Multi-drug_resistance,Multi-drug_RND_efflux_pumps,OPMH,NA,66.622891,26214735,147.63938422417773820715,17.2138
ERR14783386,NODE_53_length_135499_cov_66.622891,gene:plasmid:125744;gene:plasmid:89528,Pseudomonas helleri,Drugs,Fluoroquinolones,Fluoroquinolone-resistant_DNA_topoisomerases,PARC,HPCIA,66.622891,26214735,147.63938422417773820715,17.2138
ERR14783386,NODE_79_length_102421_cov_29.374626,gene:plasmid:154779,Pseudomonas helleri,Drugs,Cationic_antimicrobial_peptides,Polymyxin_B_resistance_regulator,ARNA,HPCIA,29.374626,26214735,147.63938422417773820715,7.5897
ERR14783386,NODE_64_length_120846_cov_69.343550,gene:plasmid:27818,Pseudomonas helleri,Multi-compound,Biocide_and_metal_resistance,Biocide_and_metal_resistance_protein,RUVB,0,69.343550,26214735,147.63938422417773820715,17.9167
ERR14783386,NODE_205_length_45611_cov_6.745229,gene:plasmid:28516,Pseudomonas fragi,Drugs,Aminocoumarins,Aminocoumarin-resistant_DNA_topoisomerases,PARE,Not medically important,6.745229,26214735,147.63938422417773820715,1.74281
ERR14783386,NODE_205_length_45611_cov_6.745229,gene:plasmid:28516,Pseudomonas putida,Drugs,Aminocoumarins,Aminocoumarin-resistant_DNA_topoisomerases,PARE,Not medically important,6.745229,26214735,147.63938422417773820715,1.74281
ERR14783386,NODE_205_length_45611_cov_6.745229,gene:plasmid:28516,Pseudomonas fragi,Drugs,Fluoroquinolones,Fluoroquinolone-resistant_DNA_topoisomerases,PARC,HPCIA,6.745229,26214735,147.63938422417773820715,1.74281
ERR14783386,NODE_1_length_440318_cov_21.795332,gene:plasmid:83370,Pseudomonas bubulae,Biocides,Phenolic_compound_resistance,Phenolic_RND_efflux_pump,TRIC,0,21.795332,26214735,147.63938422417773820715,5.63139
ERR14783386,NODE_32_length_166579_cov_16.938931,gene:proph:175950;gene:proph:175953;gene:proph:175954;gene:proph:184195;gene:proph:184194;gene:proph:184236;gene:proph:175955,Pseudomonas fragi,Biocides,Multi-biocide_resistance,Multi-biocide_RND_efflux_pump,EMHB,0,16.938931,26214735,147.63938422417773820715,4.37661
ERR14783386,NODE_32_length_166579_cov_16.938931,gene:proph:175950;gene:proph:175953;gene:proph:175954;gene:proph:184195;gene:proph:184194;gene:proph:184236;gene:proph:175955,Pseudomonas fragi,Multi-compound,Drug_and_biocide_resistance,Drug_and_biocide_RND_efflux_pumps,EMHC,0,16.938931,26214735,147.63938422417773820715,4.37661
ERR14783386,NODE_44_length_148194_cov_53.136182,gene:proph:184430;gene:proph:175953;gene:proph:184195;gene:proph:184194;gene:proph:184236;gene:proph:175955;gene:proph:184449,Pseudomonas helleri,Biocides,Multi-biocide_resistance,Multi-biocide_RND_efflux_pump,EMHB,0,53.136182,26214735,147.63938422417773820715,13.7291
ERR14783386,NODE_44_length_148194_cov_53.136182,gene:proph:184430;gene:proph:175953;gene:proph:184195;gene:proph:184194;gene:proph:184236;gene:proph:175955;gene:proph:184449,Pseudomonas helleri,Multi-compound,Drug_and_biocide_resistance,Drug_and_biocide_RND_efflux_pumps,EMHC,0,53.136182,26214735,147.63938422417773820715,13.7291
ERR14783390,NODE_75_length_56059_cov_6.088322,gene:plasmid:123158,Bacillus tropicus,Drugs,Nucleosides,Streptothricin_acetyltransferase,SAT,CIA,6.088322,5589849,143.92262581690489313754,7.56778
ERR14783390,NODE_68_length_58554_cov_26.086484,gene:plasmid:141403,Bacillus cereus,Drugs,Rifampin,Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB,RPOB,CIA,26.086484,5589849,143.92262581690489313754,32.4255
ERR14783390,NODE_68_length_58554_cov_26.086484,gene:plasmid:141403,Bacillus mycoides,Drugs,Oxazolidinone,Oxazolidinone-resistant_23S_rRNA_mutation,O23S,Authorized for use in humans only,26.086484,5589849,143.92262581690489313754,32.4255
ERR14783390,NODE_68_length_58554_cov_26.086484,gene:plasmid:141403,Bacillus tropicus,Drugs,Lipopeptides,Daptomycin-resistant_beta-subunit_of_RNA_polymerase_RpoC,RPOCL,Authorized for use in humans only,26.086484,5589849,143.92262581690489313754,32.4255
ERR14783390,NODE_243_length_26236_cov_4.815772,gene:proph:172890;gene:vir:105016;gene:vir:6171;gene:vir:6173;gene:proph:182328;gene:proph:182329,Bacillus albus,Drugs,betalactams,Class_B_betalactamases,BC,Authorized for use in humans only,4.815772,5589849,143.92262581690489313754,5.986
ERR14783391,NODE_1_length_777738_cov_17.185089,gene:plasmid:122188;gene:plasmid:122777;gene:plasmid:122162;gene:plasmid:122860;gene:plasmid:122777,Bacillus thuringiensis,Drugs,betalactams,Class_A_betalactamases,BLA1,Authorized for use in humans only ,17.185089,8026561,146.08043257878436356491,14.6565
ERR14783391,NODE_4_length_465217_cov_22.637507,gene:plasmid:123128;gene:plasmid:151379;gene:plasmid:138523;gene:plasmid:122720;gene:plasmid:123153;gene:plasmid:122880;gene:plasmid:122716;gene:plasmid:122717;gene:plasmid:122719;gene:plasmid:122722;gene:plasmid:122910;gene:plasmid:12587;gene:plasmid:122037;gene:plasmid:123138;gene:proph:182251;gene:plasmid:154206;gene:plasmid:122050;gene:plasmid:122054;gene:plasmid:122055;gene:proph:161065;gene:proph:172331;gene:plasmid:122796;gene:plasmid:122797;gene:plasmid:122798;gene:plasmid:122802;gene:plasmid:122806;gene:plasmid:122807;gene:plasmid:122808;gene:plasmid:122809;gene:proph:182237;gene:plasmid:122087;gene:plasmid:122720;gene:plasmid:122811;gene:plasmid:12550;gene:plasmid:12551;gene:plasmid:122035;gene:plasmid:122034;gene:plasmid:122959;gene:plasmid:122029;gene:plasmid:122028;gene:plasmid:154259;gene:plasmid:12560;gene:plasmid:12561;gene:plasmid:12562;gene:plasmid:12814;gene:plasmid:122022;gene:plasmid:12824;gene:plasmid:123068;gene:plasmid:154296;gene:plasmid:122959;gene:plasmid:154188;gene:plasmid:154189;gene:plasmid:12831;gene:plasmid:154184;gene:plasmid:12832;gene:plasmid:154292;gene:plasmid:154293;gene:plasmid:12582;gene:plasmid:12840;gene:plasmid:123029;gene:plasmid:151379;gene:plasmid:122721;gene:plasmid:122718;gene:plasmid:122745;gene:plasmid:123155;gene:plasmid:122879;gene:plasmid:122881;gene:plasmid:122882;gene:plasmid:122883;gene:plasmid:122884;gene:plasmid:122885;gene:plasmid:122814;gene:plasmid:122815;gene:plasmid:123152;gene:plasmid:154248;gene:plasmid:122104;gene:plasmid:122107;gene:plasmid:154155;gene:plasmid:123068;gene:plasmid:154264;gene:plasmid:12637;gene:plasmid:122863;gene:plasmid:122864;gene:plasmid:122865;gene:plasmid:122867;gene:plasmid:122924;gene:plasmid:123126;gene:plasmid:123124;gene:plasmid:151379,Bacillus sp. N5-665,Drugs,betalactams,Class_A_betalactamases,BLAZ,Authorized for use in humans only ,22.637507,8026561,146.08043257878436356491,19.3067
ERR14783391,NODE_4_length_465217_cov_22.637507,gene:plasmid:123128;gene:plasmid:151379;gene:plasmid:138523;gene:plasmid:122720;gene:plasmid:123153;gene:plasmid:122880;gene:plasmid:122716;gene:plasmid:122717;gene:plasmid:122719;gene:plasmid:122722;gene:plasmid:122910;gene:plasmid:12587;gene:plasmid:122037;gene:plasmid:123138;gene:proph:182251;gene:plasmid:154206;gene:plasmid:122050;gene:plasmid:122054;gene:plasmid:122055;gene:proph:161065;gene:proph:172331;gene:plasmid:122796;gene:plasmid:122797;gene:plasmid:122798;gene:plasmid:122802;gene:plasmid:122806;gene:plasmid:122807;gene:plasmid:122808;gene:plasmid:122809;gene:proph:182237;gene:plasmid:122087;gene:plasmid:122720;gene:plasmid:122811;gene:plasmid:12550;gene:plasmid:12551;gene:plasmid:122035;gene:plasmid:122034;gene:plasmid:122959;gene:plasmid:122029;gene:plasmid:122028;gene:plasmid:154259;gene:plasmid:12560;gene:plasmid:12561;gene:plasmid:12562;gene:plasmid:12814;gene:plasmid:122022;gene:plasmid:12824;gene:plasmid:123068;gene:plasmid:154296;gene:plasmid:122959;gene:plasmid:154188;gene:plasmid:154189;gene:plasmid:12831;gene:plasmid:154184;gene:plasmid:12832;gene:plasmid:154292;gene:plasmid:154293;gene:plasmid:12582;gene:plasmid:12840;gene:plasmid:123029;gene:plasmid:151379;gene:plasmid:122721;gene:plasmid:122718;gene:plasmid:122745;gene:plasmid:123155;gene:plasmid:122879;gene:plasmid:122881;gene:plasmid:122882;gene:plasmid:122883;gene:plasmid:122884;gene:plasmid:122885;gene:plasmid:122814;gene:plasmid:122815;gene:plasmid:123152;gene:plasmid:154248;gene:plasmid:122104;gene:plasmid:122107;gene:plasmid:154155;gene:plasmid:123068;gene:plasmid:154264;gene:plasmid:12637;gene:plasmid:122863;gene:plasmid:122864;gene:plasmid:122865;gene:plasmid:122867;gene:plasmid:122924;gene:plasmid:123126;gene:plasmid:123124;gene:plasmid:151379,Bacillus sp. N5-665,Drugs,betalactams,Class_A_betalactamases,BLAZ,Authorized for use in humans only ,22.637507,8026561,146.08043257878436356491,19.3067
ERR14783391,NODE_6_length_347281_cov_18.137138,gene:plasmid:128185,Bacillus paramobilis,Drugs,betalactams,Class_B_betalactamases,BCII,Authorized for use in humans only ,18.137138,8026561,146.08043257878436356491,15.4685
ERR14783391,NODE_3_length_570685_cov_34.346655,gene:plasmid:138538;gene:plasmid:122850;gene:plasmid:127957;gene:plasmid:123038,Bacillus wiedmannii,Drugs,betalactams,Class_A_betalactamases,BLAZ,Authorized for use in humans only ,34.346655,8026561,146.08043257878436356491,29.2929
ERR14783391,NODE_59_length_58445_cov_74.263829,gene:plasmid:141403,Bacillus mycoides,Drugs,Aminoglycosides,Aminoglycoside-resistant_16S_ribosomal_subunit_protein,A16S,CIA,74.263829,8026561,146.08043257878436356491,63.3368
ERR14783391,NODE_59_length_58445_cov_74.263829,gene:plasmid:141403,Bacillus tropicus,Drugs,Rifampin,Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB,RPOB,CIA,74.263829,8026561,146.08043257878436356491,63.3368
ERR14783391,NODE_59_length_58445_cov_74.263829,gene:plasmid:141403,Bacillus thuringiensis,Drugs,Lipopeptides,Daptomycin-resistant_beta-subunit_of_RNA_polymerase_RpoC,RPOCL,Authorized for use in humans only,74.263829,8026561,146.08043257878436356491,63.3368
ERR14783393,NODE_2_length_777403_cov_210.512562,gene:plasmid:122188;gene:plasmid:122777;gene:plasmid:122162;gene:plasmid:122860;gene:plasmid:122777,Bacillus thuringiensis,Drugs,betalactams,Class_A_betalactamases,BLA1,Authorized for use in humans only ,210.512562,47105487,145.21330578749774946600,30.7751
ERR14783393,NODE_6_length_285585_cov_203.346440,gene:plasmid:123128;gene:plasmid:151379;gene:plasmid:122720;gene:proph:161065;gene:proph:172895;gene:plasmid:122802;gene:plasmid:123153;gene:plasmid:122087;gene:plasmid:122716;gene:plasmid:122717;gene:plasmid:12550;gene:plasmid:12551;gene:plasmid:122035;gene:plasmid:122029;gene:plasmid:122028;gene:plasmid:12559;gene:plasmid:154260;gene:plasmid:12561;gene:plasmid:122719;gene:plasmid:122722;gene:plasmid:122910;gene:plasmid:154198;gene:plasmid:123068;gene:plasmid:154296;gene:plasmid:122959;gene:plasmid:154188;gene:plasmid:12830;gene:plasmid:154183;gene:plasmid:155256;gene:plasmid:122037;gene:plasmid:12579;gene:plasmid:154292;gene:plasmid:12835;gene:plasmid:154294;gene:plasmid:12585;gene:plasmid:123029;gene:plasmid:151379;gene:proph:182251;gene:plasmid:122721;gene:plasmid:122718;gene:plasmid:154206;gene:plasmid:122050;gene:plasmid:122054;gene:plasmid:122055;gene:plasmid:123152;gene:plasmid:122796;gene:plasmid:122797;gene:plasmid:122798;gene:plasmid:122800;gene:plasmid:122801;gene:plasmid:122806;gene:plasmid:122807;gene:plasmid:122808;gene:plasmid:122809;gene:proph:182237;gene:plasmid:122959;gene:plasmid:122811;gene:plasmid:151379,Bacillus mycoides,Drugs,betalactams,Class_A_betalactamases,BLAZ,Authorized for use in humans only ,203.346440,47105487,145.21330578749774946600,29.7275
ERR14783393,NODE_6_length_285585_cov_203.346440,gene:plasmid:123128;gene:plasmid:151379;gene:plasmid:122720;gene:proph:161065;gene:proph:172895;gene:plasmid:122802;gene:plasmid:123153;gene:plasmid:122087;gene:plasmid:122716;gene:plasmid:122717;gene:plasmid:12550;gene:plasmid:12551;gene:plasmid:122035;gene:plasmid:122029;gene:plasmid:122028;gene:plasmid:12559;gene:plasmid:154260;gene:plasmid:12561;gene:plasmid:122719;gene:plasmid:122722;gene:plasmid:122910;gene:plasmid:154198;gene:plasmid:123068;gene:plasmid:154296;gene:plasmid:122959;gene:plasmid:154188;gene:plasmid:12830;gene:plasmid:154183;gene:plasmid:155256;gene:plasmid:122037;gene:plasmid:12579;gene:plasmid:154292;gene:plasmid:12835;gene:plasmid:154294;gene:plasmid:12585;gene:plasmid:123029;gene:plasmid:151379;gene:proph:182251;gene:plasmid:122721;gene:plasmid:122718;gene:plasmid:154206;gene:plasmid:122050;gene:plasmid:122054;gene:plasmid:122055;gene:plasmid:123152;gene:plasmid:122796;gene:plasmid:122797;gene:plasmid:122798;gene:plasmid:122800;gene:plasmid:122801;gene:plasmid:122806;gene:plasmid:122807;gene:plasmid:122808;gene:plasmid:122809;gene:proph:182237;gene:plasmid:122959;gene:plasmid:122811;gene:plasmid:151379,Bacillus mycoides,Drugs,betalactams,Class_A_betalactamases,BLAZ,Authorized for use in humans only ,203.346440,47105487,145.21330578749774946600,29.7275
ERR14783393,NODE_5_length_347181_cov_210.586128,gene:plasmid:128185,Bacillus thuringiensis,Drugs,betalactams,Class_B_betalactamases,BCII,Authorized for use in humans only ,210.586128,47105487,145.21330578749774946600,30.7859
ERR14783393,NODE_3_length_570685_cov_288.828925,gene:plasmid:138538;gene:plasmid:122850;gene:plasmid:127957;gene:plasmid:123038,Bacillus cereus,Drugs,betalactams,Class_A_betalactamases,BLAZ,Authorized for use in humans only ,288.828925,47105487,145.21330578749774946600,42.2243
ERR14783393,NODE_78_length_58442_cov_413.635291,gene:plasmid:141403,Bacillus mycoides,Drugs,Elfamycins,EF-Tu_inhibition,TUFAB,NA,413.635291,47105487,145.21330578749774946600,60.47
ERR14783393,NODE_78_length_58442_cov_413.635291,gene:plasmid:141403,Bacillus mycoides,Drugs,Rifampin,Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB,RPOB,CIA,413.635291,47105487,145.21330578749774946600,60.47
ERR14783393,NODE_78_length_58442_cov_413.635291,gene:plasmid:141403,Bacillus cereus,Drugs,Lipopeptides,Daptomycin-resistant_beta-subunit_of_RNA_polymerase_RpoC,RPOCL,Authorized for use in humans only,413.635291,47105487,145.21330578749774946600,60.47
ERR14783399,NODE_500_length_5576_cov_12.743623,gene:plasmid:131373,Leuconostoc mesenteroides,Drugs,Aminoglycosides,Aminoglycoside-resistant_16S_ribosomal_subunit_protein,A16S,CIA,12.743623,15186660,131.79578491913297591438,6.36692
ERR14783399,NODE_500_length_5576_cov_12.743623,gene:plasmid:131373,Leuconostoc mesenteroides,Drugs,Oxazolidinone,Oxazolidinone-resistant_23S_rRNA_mutation,O23S,Authorized for use in humans only,12.743623,15186660,131.79578491913297591438,6.36692
ERR14783399,NODE_7_length_238437_cov_108.771646,gene:plasmid:135980;gene:plasmid:135959,Lactococcus cremoris,Drugs,Multi-drug_resistance,Multi-drug_ABC_efflux_pumps,LMRD,HIA,108.771646,15186660,131.79578491913297591438,54.344
ERR14783399,NODE_496_length_5592_cov_132.608783,gene:plasmid:139560;gene:plasmid:117293,Acetobacter ghanensis,Drugs,MLS,Macrolide-resistant_23S_rRNA_mutation,MLS23S,CIA ?,132.608783,15186660,131.79578491913297591438,66.2535
ERR14783399,NODE_496_length_5592_cov_132.608783,gene:plasmid:139560;gene:plasmid:117293,other,Drugs,MLS,Macrolide-resistant_23S_rRNA_mutation,MLS23S,CIA ?,132.608783,15186660,131.79578491913297591438,66.2535
ERR14783400,NODE_2255_length_5342_cov_28.739214,gene:plasmid:139560,Acetobacter orientalis,Drugs,Aminoglycosides,Aminoglycoside-resistant_16S_ribosomal_subunit_protein,A16S,CIA,28.739214,20500109,148.46293563609832513573,9.4428
ERR14783400,NODE_2255_length_5342_cov_28.739214,gene:plasmid:139560,Leuconostoc mesenteroides,Drugs,Oxazolidinone,Oxazolidinone-resistant_23S_rRNA_mutation,O23S,Authorized for use in humans only,28.739214,20500109,148.46293563609832513573,9.4428
ERR14783400,NODE_2152_length_5592_cov_159.352790,gene:plasmid:139560;gene:plasmid:131376,Acetobacter ghanensis,Drugs,MLS,Macrolide-resistant_23S_rRNA_mutation,MLS23S,CIA ?,159.352790,20500109,148.46293563609832513573,52.3583
ERR14783400,NODE_2152_length_5592_cov_159.352790,gene:plasmid:139560;gene:plasmid:131376,other,Drugs,MLS,Macrolide-resistant_23S_rRNA_mutation,MLS23S,CIA ?,159.352790,20500109,148.46293563609832513573,52.3583
ERR14783400,NODE_2_length_440936_cov_14.534236,gene:plasmid:17313;gene:plasmid:17312;gene:plasmid:17311;gene:plasmid:17310;gene:plasmid:17309;gene:plasmid:17308;gene:plasmid:17307;gene:plasmid:17306;gene:plasmid:17300;ICEberg|404|Tn5301|GenBank|S54034|1..515;gene:plasmid:135980;gene:plasmid:135959;gene:plasmid:17299,Lactococcus cremoris,Drugs,Multi-drug_resistance,Multi-drug_ABC_efflux_pumps,LMRD,HIA,14.534236,20500109,148.46293563609832513573,4.77549
ERR14783400,NODE_6676_length_1871_cov_0.704128,gene:plasmid:20178,Klebsiella michiganensis,Drugs,Aminoglycosides,Aminoglycoside_O-phosphotransferases,APH3-DPRIME,CIA,0.704128,20500109,148.46293563609832513573,0.231354
ERR14783400,NODE_682_length_15955_cov_4.335102,gene:proph:169512,Klebsiella grimontii,Multi-compound,Drug_and_biocide_resistance,Drug_and_biocide_ABC_efflux_regulator,PHOB,0,4.335102,20500109,148.46293563609832513573,1.42438
ERR14783400,NODE_682_length_15955_cov_4.335102,gene:proph:169512,Klebsiella grimontii,Multi-compound,Drug_and_biocide_resistance,Drug_and_biocide_SMR_efflux_regulator,PHOR,0,4.335102,20500109,148.46293563609832513573,1.42438
ERR14783400,NODE_70_length_66160_cov_8.539155,gene:proph:170051,Klebsiella grimontii,Multi-compound,Drug_and_biocide_resistance,Drug_and_biocide_RND_efflux_regulator,CPXAR,CIA ,8.539155,20500109,148.46293563609832513573,2.8057
ERR14783400,NODE_70_length_66160_cov_8.539155,gene:proph:170051,Klebsiella grimontii,Multi-compound,Drug_and_biocide_resistance,Drug_and_biocide_RND_efflux_regulator,CPXAR,CIA ,8.539155,20500109,148.46293563609832513573,2.8057
ERR14783400,NODE_70_length_66160_cov_8.539155,gene:proph:170051,Klebsiella grimontii,Biocides,Biguanide_resistance,Biguanide_cation_efflux,CEPAB,0,8.539155,20500109,148.46293563609832513573,2.8057
ERR14783400,NODE_922_length_12621_cov_10.411157,gene:proph:176833;gene:proph:176835,Klebsiella grimontii,Drugs,Elfamycins,EF-Tu_inhibition,TUFAB,NA,10.411157,20500109,148.46293563609832513573,3.42078
ERR14783400,NODE_922_length_12621_cov_10.411157,gene:proph:176833;gene:proph:176835,Lelliottia amnigena,Drugs,Elfamycins,EF-Tu_inhibition,TUFAB,NA,10.411157,20500109,148.46293563609832513573,3.42078
ERR14783401,NODE_193_length_5672_cov_1.972227,gene:plasmid:139560;gene:plasmid:131376,Acetobacter ghanensis,Drugs,MLS,Macrolide-resistant_23S_rRNA_mutation,MLS23S,CIA ?,1.972227,1022566,137.72168642415257303685,14.0044
ERR14783401,NODE_193_length_5672_cov_1.972227,gene:plasmid:139560;gene:plasmid:131376,Acetobacter ghanensis,Drugs,Aminoglycosides,Aminoglycoside-resistant_16S_ribosomal_subunit_protein,A16S,CIA,1.972227,1022566,137.72168642415257303685,14.0044
ERR14783401,NODE_1_length_440985_cov_9.114697,gene:plasmid:17313;gene:plasmid:17312;gene:plasmid:17311;gene:plasmid:17310;gene:plasmid:17309;gene:plasmid:17308;gene:plasmid:17307;gene:plasmid:17306;gene:plasmid:17300;ICEberg|404|Tn5301|GenBank|S54034|1..515;gene:plasmid:135980;gene:plasmid:135959;gene:plasmid:17299,Lactococcus cremoris,Drugs,Multi-drug_resistance,Multi-drug_ABC_efflux_pumps,LMRD,HIA,9.114697,1022566,137.72168642415257303685,64.7215
ERR14783402,NODE_8_length_353634_cov_31.221820,gene:plasmid:115548;gene:proph:184192;gene:proph:184193;gene:plasmid:20884,Pseudomonas sp. AC109,Drugs,Fluoroquinolones,Fluoroquinolone-resistant_DNA_topoisomerases,GYRA,HPCIA,31.221820,17798058,146.71423865457680832369,11.9568
ERR14783402,NODE_8_length_353634_cov_31.221820,gene:plasmid:115548;gene:proph:184192;gene:proph:184193;gene:plasmid:20884,Pseudomonas azotoformans,Biocides,Multi-biocide_resistance,Multi-biocide_RND_efflux_pump,EMHA,0,31.221820,17798058,146.71423865457680832369,11.9568
ERR14783402,NODE_8_length_353634_cov_31.221820,gene:plasmid:115548;gene:proph:184192;gene:proph:184193;gene:plasmid:20884,Pseudomonas sp. AC109,Biocides,Multi-biocide_resistance,Multi-biocide_RND_efflux_pump,EMHB,0,31.221820,17798058,146.71423865457680832369,11.9568
ERR14783402,NODE_8_length_353634_cov_31.221820,gene:plasmid:115548;gene:proph:184192;gene:proph:184193;gene:plasmid:20884,Pseudomonas azotoformans,Multi-compound,Drug_and_biocide_resistance,Drug_and_biocide_RND_efflux_pumps,EMHC,0,31.221820,17798058,146.71423865457680832369,11.9568
ERR14783402,NODE_1_length_629312_cov_29.189649,gene:plasmid:116634,Pseudomonas sp. MYb193,Multi-compound,Drug_and_biocide_resistance,Drug_and_biocide_RND_efflux_pumps,EMHC,0,29.189649,17798058,146.71423865457680832369,11.1785
ERR14783402,NODE_1447_length_5342_cov_69.955513,gene:plasmid:117290,Leuconostoc mesenteroides,Drugs,Aminoglycosides,Aminoglycoside-resistant_16S_ribosomal_subunit_protein,A16S,CIA,69.955513,17798058,146.71423865457680832369,26.7903
ERR14783402,NODE_1447_length_5342_cov_69.955513,gene:plasmid:117290,Leuconostoc mesenteroides,Drugs,Oxazolidinone,Oxazolidinone-resistant_23S_rRNA_mutation,O23S,Authorized for use in humans only,69.955513,17798058,146.71423865457680832369,26.7903
ERR14783402,NODE_73_length_80889_cov_4.655395,gene:plasmid:119533;gene:plasmid:28516;gene:plasmid:130030,Pseudomonas putida,Drugs,Aminocoumarins,Aminocoumarin-resistant_DNA_topoisomerases,PARE,Not medically important,4.655395,17798058,146.71423865457680832369,1.78284
ERR14783402,NODE_73_length_80889_cov_4.655395,gene:plasmid:119533;gene:plasmid:28516;gene:plasmid:130030,Pseudomonas putida,Drugs,Multi-drug_resistance,Multi-drug_RND_efflux_pumps,OPMH,NA,4.655395,17798058,146.71423865457680832369,1.78284
ERR14783402,NODE_73_length_80889_cov_4.655395,gene:plasmid:119533;gene:plasmid:28516;gene:plasmid:130030,Pseudomonas putida,Drugs,Fluoroquinolones,Fluoroquinolone-resistant_DNA_topoisomerases,PARC,HPCIA,4.655395,17798058,146.71423865457680832369,1.78284
ERR14783402,NODE_385_length_21920_cov_2.558436,gene:plasmid:124393,Pseudomonas sp. FP2335,Biocides,Peroxide_resistance,peroxide_resistance_protein,SODB,0,2.558436,17798058,146.71423865457680832369,0.979782
ERR14783402,NODE_13_length_289658_cov_4.814220,gene:plasmid:138733;gene:plasmid:86304;gene:plasmid:124575;gene:plasmid:155093;gene:plasmid:154639,Pseudomonas putida,Multi-compound,Biocide_and_metal_resistance,Biocide_and_metal_resistance_protein,RUVB,0,4.814220,17798058,146.71423865457680832369,1.84366
ERR14783402,NODE_13_length_289658_cov_4.814220,gene:plasmid:138733;gene:plasmid:86304;gene:plasmid:124575;gene:plasmid:155093;gene:plasmid:154639,Pseudomonas putida,Biocides,Phenolic_compound_resistance,Phenolic_RND_efflux_pump,TRIC,0,4.814220,17798058,146.71423865457680832369,1.84366
ERR14783402,NODE_1770_length_4277_cov_50.719277,gene:plasmid:139560,Leuconostoc mesenteroides,Drugs,Aminoglycosides,Aminoglycoside-resistant_16S_ribosomal_subunit_protein,A16S,CIA,50.719277,17798058,146.71423865457680832369,19.4235
ERR14783402,NODE_11_length_323270_cov_43.877893,gene:plasmid:145291,Pseudomonas sp. J380,Drugs,Fluoroquinolones,Fluoroquinolone-resistant_DNA_topoisomerases,GYRB,HPCIA,43.877893,17798058,146.71423865457680832369,16.8035
ERR14783402,NODE_145_length_50017_cov_4.279094,gene:plasmid:21089,Pseudomonas putida,Biocides,Peroxide_resistance,peroxide_resistance_protein,SODB,0,4.279094,17798058,146.71423865457680832369,1.63873
ERR14783402,NODE_2_length_584861_cov_35.829201,gene:plasmid:21664;gene:plasmid:154774;gene:plasmid:120282;gene:plasmid:154739;gene:plasmid:20556,Pseudomonas sp. J380,Biocides,Peroxide_resistance,peroxide_resistance_protein,SODB,0,35.829201,17798058,146.71423865457680832369,13.7212
ERR14783402,NODE_25_length_170652_cov_3.060513,gene:plasmid:21758;gene:plasmid:21763,Pseudomonas sp. LPD2,Multi-compound,Drug_and_biocide_resistance,Drug_and_biocide_RND_efflux_pumps,MEXD1,0,3.060513,17798058,146.71423865457680832369,1.17206
ERR14783402,NODE_19_length_232061_cov_38.495542,gene:plasmid:22410,Pseudomonas sp. J380,Drugs,Elfamycins,EF-Tu_inhibition,TUFAB,NA,38.495542,17798058,146.71423865457680832369,14.7423
ERR14783402,NODE_19_length_232061_cov_38.495542,gene:plasmid:22410,Pseudomonas sp. J380,Drugs,Rifampin,Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB,RPOB,CIA,38.495542,17798058,146.71423865457680832369,14.7423
ERR14783402,NODE_118_length_60730_cov_3.957906,gene:plasmid:28512;gene:proph:175950,Pseudomonas asiatica,Drugs,Lipopeptides,Colistin-resistant_mutant,PHOP,HPCIA,3.957906,17798058,146.71423865457680832369,1.51573
