sample,contig,mge(s),species,type_resistance,AMR,infos_amr,short_name
ERR14783796,NODE_98_length_42676_cov_1.842487,gene:plasmid:153902;gene:plasmid:153905;gene:plasmid:153906;gene:plasmid:139674,Citrobacter freundi,Metals,Copper_resistance,Copper_resistance_protein,PCOD
ERR14783796,NODE_98_length_42676_cov_1.842487,gene:plasmid:153902;gene:plasmid:153905;gene:plasmid:153906;gene:plasmid:139674,Citrobacter freundi,Metals,Copper_resistance,Copper_resistance_regulator,PCOR
ERR14783796,NODE_98_length_42676_cov_1.842487,gene:plasmid:153902;gene:plasmid:153905;gene:plasmid:153906;gene:plasmid:139674,Citrobacter freundi,Metals,Copper_resistance,Copper_resistance_regulator,PCOS
ERR14783796,NODE_98_length_42676_cov_1.842487,gene:plasmid:153902;gene:plasmid:153905;gene:plasmid:153906;gene:plasmid:139674,Citrobacter freundi,Metals,Multi-metal_resistance,Multi-metal_resistance_regulator,PCOE
ERR14783796,NODE_98_length_42676_cov_1.842487,gene:plasmid:153902;gene:plasmid:153905;gene:plasmid:153906;gene:plasmid:139674,Citrobacter freundi,Metals,Multi-metal_resistance,Multi-metal_RND_efflux_pumps,SILP
ERR14783796,NODE_98_length_42676_cov_1.842487,gene:plasmid:153902;gene:plasmid:153905;gene:plasmid:153906;gene:plasmid:139674,Citrobacter freundi,Metals,Multi-metal_resistance,Multi-metal_RND_efflux_regulator,SILS
ERR14783796,NODE_98_length_42676_cov_1.842487,gene:plasmid:153902;gene:plasmid:153905;gene:plasmid:153906;gene:plasmid:139674,Citrobacter freundi,Metals,Multi-metal_resistance,Multi-metal_RND_efflux_pumps,SILE
ERR14783524,NODE_19_length_207922_cov_22.593455,gene:plasmid:153902;gene:plasmid:153905;gene:plasmid:153906;gene:plasmid:147501;gene:plasmid:147500;gene:plasmid:139674,Citrobacter freundii,Metals,Multi-metal_resistance,Multi-metal_RND_efflux_pumps,SILC
ERR14783524,NODE_19_length_207922_cov_22.593455,gene:plasmid:153902;gene:plasmid:153905;gene:plasmid:153906;gene:plasmid:147501;gene:plasmid:147500;gene:plasmid:139674,Citrobacter freundii,Metals,Multi-metal_resistance,Multi-metal_RND_efflux_pumps,SILF
ERR14783524,NODE_19_length_207922_cov_22.593455,gene:plasmid:153902;gene:plasmid:153905;gene:plasmid:153906;gene:plasmid:147501;gene:plasmid:147500;gene:plasmid:139674,Citrobacter freundii,Metals,Multi-metal_resistance,Multi-metal_RND_efflux_pumps,SILB
ERR14783524,NODE_19_length_207922_cov_22.593455,gene:plasmid:153902;gene:plasmid:153905;gene:plasmid:153906;gene:plasmid:147501;gene:plasmid:147500;gene:plasmid:139674,Citrobacter freundii,Metals,Multi-metal_resistance,Multi-metal_RND_efflux_pumps,SILA
ERR14783524,NODE_19_length_207922_cov_22.593455,gene:plasmid:153902;gene:plasmid:153905;gene:plasmid:153906;gene:plasmid:147501;gene:plasmid:147500;gene:plasmid:139674,Citrobacter freundii,Metals,Multi-metal_resistance,Multi-metal_RND_efflux_pumps,SILP
ERR14783524,NODE_19_length_207922_cov_22.593455,gene:plasmid:153902;gene:plasmid:153905;gene:plasmid:153906;gene:plasmid:147501;gene:plasmid:147500;gene:plasmid:139674,Citrobacter freundii,Metals,Copper_resistance,Copper_resistance_protein,PCOA
ERR14783524,NODE_19_length_207922_cov_22.593455,gene:plasmid:153902;gene:plasmid:153905;gene:plasmid:153906;gene:plasmid:147501;gene:plasmid:147500;gene:plasmid:139674,Citrobacter freundii,Metals,Copper_resistance,Copper_resistance_protein,PCOB
ERR14783524,NODE_19_length_207922_cov_22.593455,gene:plasmid:153902;gene:plasmid:153905;gene:plasmid:153906;gene:plasmid:147501;gene:plasmid:147500;gene:plasmid:139674,Citrobacter freundii,Metals,Copper_resistance,Copper_resistance_protein,PCOC
ERR14783524,NODE_19_length_207922_cov_22.593455,gene:plasmid:153902;gene:plasmid:153905;gene:plasmid:153906;gene:plasmid:147501;gene:plasmid:147500;gene:plasmid:139674,Citrobacter freundii,Metals,Copper_resistance,Copper_resistance_protein,PCOD
ERR14783524,NODE_19_length_207922_cov_22.593455,gene:plasmid:153902;gene:plasmid:153905;gene:plasmid:153906;gene:plasmid:147501;gene:plasmid:147500;gene:plasmid:139674,Citrobacter freundii,Metals,Copper_resistance,Copper_resistance_regulator,PCOR
ERR14783524,NODE_19_length_207922_cov_22.593455,gene:plasmid:153902;gene:plasmid:153905;gene:plasmid:153906;gene:plasmid:147501;gene:plasmid:147500;gene:plasmid:139674,Citrobacter freundii,Metals,Copper_resistance,Copper_resistance_regulator,PCOS
ERR14783524,NODE_19_length_207922_cov_22.593455,gene:plasmid:153902;gene:plasmid:153905;gene:plasmid:153906;gene:plasmid:147501;gene:plasmid:147500;gene:plasmid:139674,Citrobacter freundii,Metals,Multi-metal_resistance,Multi-metal_resistance_regulator,PCOE
ERR14783524,NODE_19_length_207922_cov_22.593455,gene:plasmid:153902;gene:plasmid:153905;gene:plasmid:153906;gene:plasmid:147501;gene:plasmid:147500;gene:plasmid:139674,Citrobacter freundii,Multi-compound,Drug_and_biocide_resistance,Drug_and_biocide_RND_efflux_regulator,CRP
ERR14783524,NODE_19_length_207922_cov_22.593455,gene:plasmid:153902;gene:plasmid:153905;gene:plasmid:153906;gene:plasmid:147501;gene:plasmid:147500;gene:plasmid:139674,Citrobacter freundii,Drugs,Aminoglycosides,Aminoglycoside-resistant_16S_ribosomal_subunit_protein,RPSL
ERR14783524,NODE_19_length_207922_cov_22.593455,gene:plasmid:153902;gene:plasmid:153905;gene:plasmid:153906;gene:plasmid:147501;gene:plasmid:147500;gene:plasmid:139674,Citrobacter freundii,Drugs,Elfamycins,EF-Tu_inhibition,TUFAB
ERR14783524,NODE_19_length_207922_cov_22.593455,gene:plasmid:153902;gene:plasmid:153905;gene:plasmid:153906;gene:plasmid:147501;gene:plasmid:147500;gene:plasmid:139674,Citrobacter freundii,Metals,Multi-metal_resistance,Multi-metal_RND_efflux_pumps,SILP
ERR14783524,NODE_19_length_207922_cov_22.593455,gene:plasmid:153902;gene:plasmid:153905;gene:plasmid:153906;gene:plasmid:147501;gene:plasmid:147500;gene:plasmid:139674,Citrobacter freundii,Metals,Multi-metal_resistance,Multi-metal_RND_efflux_regulator,SILS
ERR14783524,NODE_19_length_207922_cov_22.593455,gene:plasmid:153902;gene:plasmid:153905;gene:plasmid:153906;gene:plasmid:147501;gene:plasmid:147500;gene:plasmid:139674,Citrobacter freundii,Metals,Multi-metal_resistance,Multi-metal_RND_efflux_pumps,SILE
ERR14783501,NODE_25_length_161340_cov_22.738985,gene:proph:161537,Citrobacter freundi,Biocides,Paraquat_resistance,Paraquat_resistance_protein,NMPC
ERR14783501,NODE_25_length_161340_cov_22.738985,gene:proph:161537,Citrobacter freundi,Multi-compound,Drug_and_biocide_resistance,Drug_and_biocide_SMR_efflux_pumps,KPNO
ERR14783501,NODE_48_length_86961_cov_46.075466,gene:proph:159396,Citrobacter freundii,Metals,Multi-metal_resistance,Multi-metal_resistance_protein,CORA
ERR14783425,NODE_15_length_336309_cov_11.998638,gene:plasmid:24609,Citrobacter sp. S39,Metals,Multi-metal_resistance,Multi-metal_RND_efflux_pumps,CUSA
ERR14783425,NODE_15_length_336309_cov_11.998638,gene:plasmid:24609,Citrobacter sp. S39,Metals,Multi-metal_resistance,Multi-metal_resistance_protein,CORC
ERR14783425,NODE_15_length_336309_cov_11.998638,gene:plasmid:24609,Citrobacter sp. S39,Metals,Copper_resistance,Copper_resistance_protein,CUTE
ERR14783425,NODE_15_length_336309_cov_11.998638,gene:plasmid:24609,Citrobacter sp. S39,Metals,Multi-metal_resistance,Multi-metal_ABC_efflux_pumps,MODC
ERR14783425,NODE_15_length_336309_cov_11.998638,gene:plasmid:24609,Citrobacter sp. S39,Multi-compound,Drug_and_biocide_resistance,Drug_and_biocide_MFS_efflux_pumps,MDFA
ERR14783538,NODE_24_length_224369_cov_19.464547,gene:proph:183015;gene:proph:183000;gene:plasmid:88316;gene:plasmid:153906;gene:plasmid:88444;gene:plasmid:147501;gene:plasmid:88313,Citrobacter sp. Y3,Metals,Multi-metal_resistance,Multi-metal_RND_efflux_pumps,SILC
ERR14783538,NODE_24_length_224369_cov_19.464547,gene:proph:183015;gene:proph:183000;gene:plasmid:88316;gene:plasmid:153906;gene:plasmid:88444;gene:plasmid:147501;gene:plasmid:88313,Citrobacter sp. Y3,Metals,Multi-metal_resistance,Multi-metal_RND_efflux_pumps,SILF
ERR14783538,NODE_24_length_224369_cov_19.464547,gene:proph:183015;gene:proph:183000;gene:plasmid:88316;gene:plasmid:153906;gene:plasmid:88444;gene:plasmid:147501;gene:plasmid:88313,Citrobacter sp. Y3,Metals,Multi-metal_resistance,Multi-metal_RND_efflux_pumps,SILB
ERR14783538,NODE_24_length_224369_cov_19.464547,gene:proph:183015;gene:proph:183000;gene:plasmid:88316;gene:plasmid:153906;gene:plasmid:88444;gene:plasmid:147501;gene:plasmid:88313,Citrobacter sp. Y3,Metals,Multi-metal_resistance,Multi-metal_RND_efflux_pumps,SILA
ERR14783538,NODE_24_length_224369_cov_19.464547,gene:proph:183015;gene:proph:183000;gene:plasmid:88316;gene:plasmid:153906;gene:plasmid:88444;gene:plasmid:147501;gene:plasmid:88313,Citrobacter sp. Y3,Metals,Multi-metal_resistance,Multi-metal_RND_efflux_pumps,SILP
ERR14783538,NODE_24_length_224369_cov_19.464547,gene:proph:183015;gene:proph:183000;gene:plasmid:88316;gene:plasmid:153906;gene:plasmid:88444;gene:plasmid:147501;gene:plasmid:88313,Citrobacter sp. Y3,Metals,Copper_resistance,Copper_resistance_protein,PCOA
ERR14783538,NODE_24_length_224369_cov_19.464547,gene:proph:183015;gene:proph:183000;gene:plasmid:88316;gene:plasmid:153906;gene:plasmid:88444;gene:plasmid:147501;gene:plasmid:88313,Citrobacter sp. Y3,Metals,Copper_resistance,Copper_resistance_protein,PCOB
ERR14783538,NODE_24_length_224369_cov_19.464547,gene:proph:183015;gene:proph:183000;gene:plasmid:88316;gene:plasmid:153906;gene:plasmid:88444;gene:plasmid:147501;gene:plasmid:88313,Citrobacter sp. Y3,Metals,Copper_resistance,Copper_resistance_protein,PCOC
ERR14783538,NODE_24_length_224369_cov_19.464547,gene:proph:183015;gene:proph:183000;gene:plasmid:88316;gene:plasmid:153906;gene:plasmid:88444;gene:plasmid:147501;gene:plasmid:88313,Citrobacter sp. Y3,Metals,Copper_resistance,Copper_resistance_protein,PCOD
ERR14783538,NODE_24_length_224369_cov_19.464547,gene:proph:183015;gene:proph:183000;gene:plasmid:88316;gene:plasmid:153906;gene:plasmid:88444;gene:plasmid:147501;gene:plasmid:88313,Citrobacter sp. Y3,Metals,Copper_resistance,Copper_resistance_regulator,PCOR
ERR14783538,NODE_24_length_224369_cov_19.464547,gene:proph:183015;gene:proph:183000;gene:plasmid:88316;gene:plasmid:153906;gene:plasmid:88444;gene:plasmid:147501;gene:plasmid:88313,Citrobacter sp. Y3,Metals,Copper_resistance,Copper_resistance_regulator,PCOS
ERR14783538,NODE_24_length_224369_cov_19.464547,gene:proph:183015;gene:proph:183000;gene:plasmid:88316;gene:plasmid:153906;gene:plasmid:88444;gene:plasmid:147501;gene:plasmid:88313,Citrobacter sp. Y3,Metals,Multi-metal_resistance,Multi-metal_resistance_regulator,PCOE
ERR14783538,NODE_24_length_224369_cov_19.464547,gene:proph:183015;gene:proph:183000;gene:plasmid:88316;gene:plasmid:153906;gene:plasmid:88444;gene:plasmid:147501;gene:plasmid:88313,Citrobacter sp. Y3,Metals,Multi-metal_resistance,Multi-metal_RND_efflux_pumps,SILP
ERR14783538,NODE_24_length_224369_cov_19.464547,gene:proph:183015;gene:proph:183000;gene:plasmid:88316;gene:plasmid:153906;gene:plasmid:88444;gene:plasmid:147501;gene:plasmid:88313,Citrobacter sp. Y3,Metals,Multi-metal_resistance,Multi-metal_RND_efflux_regulator,SILS
ERR14783538,NODE_24_length_224369_cov_19.464547,gene:proph:183015;gene:proph:183000;gene:plasmid:88316;gene:plasmid:153906;gene:plasmid:88444;gene:plasmid:147501;gene:plasmid:88313,Citrobacter sp. Y3,Metals,Multi-metal_resistance,Multi-metal_RND_efflux_pumps,SILE
ERR14783501,NODE_51_length_80971_cov_48.183588,gene:plasmid:117704;gene:plasmid:117783;gene:plasmid:91980;gene:plasmid:151656;gene:plasmid:154026;gene:plasmid:147500;gene:plasmid:24068;gene:plasmid:151472;gene:plasmid:155925;gene:plasmid:153903;gene:plasmid:92051;gene:plasmid:153905;gene:plasmid:153906;gene:plasmid:156772;gene:plasmid:149304;gene:proph:163816,Citrobacter youngae,Metals,Multi-metal_resistance,Multi-metal_RND_efflux_pumps,SILP
ERR14783501,NODE_51_length_80971_cov_48.183588,gene:plasmid:117704;gene:plasmid:117783;gene:plasmid:91980;gene:plasmid:151656;gene:plasmid:154026;gene:plasmid:147500;gene:plasmid:24068;gene:plasmid:151472;gene:plasmid:155925;gene:plasmid:153903;gene:plasmid:92051;gene:plasmid:153905;gene:plasmid:153906;gene:plasmid:156772;gene:plasmid:149304;gene:proph:163816,Citrobacter youngae,Metals,Multi-metal_resistance,Multi-metal_RND_efflux_regulator,SILS
ERR14783501,NODE_51_length_80971_cov_48.183588,gene:plasmid:117704;gene:plasmid:117783;gene:plasmid:91980;gene:plasmid:151656;gene:plasmid:154026;gene:plasmid:147500;gene:plasmid:24068;gene:plasmid:151472;gene:plasmid:155925;gene:plasmid:153903;gene:plasmid:92051;gene:plasmid:153905;gene:plasmid:153906;gene:plasmid:156772;gene:plasmid:149304;gene:proph:163816,Citrobacter youngae,Metals,Multi-metal_resistance,Multi-metal_RND_efflux_pumps,SILC
ERR14783501,NODE_51_length_80971_cov_48.183588,gene:plasmid:117704;gene:plasmid:117783;gene:plasmid:91980;gene:plasmid:151656;gene:plasmid:154026;gene:plasmid:147500;gene:plasmid:24068;gene:plasmid:151472;gene:plasmid:155925;gene:plasmid:153903;gene:plasmid:92051;gene:plasmid:153905;gene:plasmid:153906;gene:plasmid:156772;gene:plasmid:149304;gene:proph:163816,Citrobacter youngae,Metals,Multi-metal_resistance,Multi-metal_RND_efflux_pumps,SILF
ERR14783501,NODE_51_length_80971_cov_48.183588,gene:plasmid:117704;gene:plasmid:117783;gene:plasmid:91980;gene:plasmid:151656;gene:plasmid:154026;gene:plasmid:147500;gene:plasmid:24068;gene:plasmid:151472;gene:plasmid:155925;gene:plasmid:153903;gene:plasmid:92051;gene:plasmid:153905;gene:plasmid:153906;gene:plasmid:156772;gene:plasmid:149304;gene:proph:163816,Citrobacter youngae,Metals,Multi-metal_resistance,Multi-metal_RND_efflux_pumps,SILB
ERR14783501,NODE_51_length_80971_cov_48.183588,gene:plasmid:117704;gene:plasmid:117783;gene:plasmid:91980;gene:plasmid:151656;gene:plasmid:154026;gene:plasmid:147500;gene:plasmid:24068;gene:plasmid:151472;gene:plasmid:155925;gene:plasmid:153903;gene:plasmid:92051;gene:plasmid:153905;gene:plasmid:153906;gene:plasmid:156772;gene:plasmid:149304;gene:proph:163816,Citrobacter youngae,Metals,Multi-metal_resistance,Multi-metal_RND_efflux_pumps,SILA
ERR14783501,NODE_51_length_80971_cov_48.183588,gene:plasmid:117704;gene:plasmid:117783;gene:plasmid:91980;gene:plasmid:151656;gene:plasmid:154026;gene:plasmid:147500;gene:plasmid:24068;gene:plasmid:151472;gene:plasmid:155925;gene:plasmid:153903;gene:plasmid:92051;gene:plasmid:153905;gene:plasmid:153906;gene:plasmid:156772;gene:plasmid:149304;gene:proph:163816,Citrobacter youngae,Metals,Multi-metal_resistance,Multi-metal_RND_efflux_pumps,SILP
ERR14783501,NODE_51_length_80971_cov_48.183588,gene:plasmid:117704;gene:plasmid:117783;gene:plasmid:91980;gene:plasmid:151656;gene:plasmid:154026;gene:plasmid:147500;gene:plasmid:24068;gene:plasmid:151472;gene:plasmid:155925;gene:plasmid:153903;gene:plasmid:92051;gene:plasmid:153905;gene:plasmid:153906;gene:plasmid:156772;gene:plasmid:149304;gene:proph:163816,Citrobacter youngae,Metals,Copper_resistance,Copper_resistance_protein,PCOA
ERR14783501,NODE_51_length_80971_cov_48.183588,gene:plasmid:117704;gene:plasmid:117783;gene:plasmid:91980;gene:plasmid:151656;gene:plasmid:154026;gene:plasmid:147500;gene:plasmid:24068;gene:plasmid:151472;gene:plasmid:155925;gene:plasmid:153903;gene:plasmid:92051;gene:plasmid:153905;gene:plasmid:153906;gene:plasmid:156772;gene:plasmid:149304;gene:proph:163816,Citrobacter youngae,Metals,Copper_resistance,Copper_resistance_protein,PCOB
ERR14783501,NODE_51_length_80971_cov_48.183588,gene:plasmid:117704;gene:plasmid:117783;gene:plasmid:91980;gene:plasmid:151656;gene:plasmid:154026;gene:plasmid:147500;gene:plasmid:24068;gene:plasmid:151472;gene:plasmid:155925;gene:plasmid:153903;gene:plasmid:92051;gene:plasmid:153905;gene:plasmid:153906;gene:plasmid:156772;gene:plasmid:149304;gene:proph:163816,Citrobacter youngae,Metals,Copper_resistance,Copper_resistance_protein,PCOC
ERR14783501,NODE_51_length_80971_cov_48.183588,gene:plasmid:117704;gene:plasmid:117783;gene:plasmid:91980;gene:plasmid:151656;gene:plasmid:154026;gene:plasmid:147500;gene:plasmid:24068;gene:plasmid:151472;gene:plasmid:155925;gene:plasmid:153903;gene:plasmid:92051;gene:plasmid:153905;gene:plasmid:153906;gene:plasmid:156772;gene:plasmid:149304;gene:proph:163816,Citrobacter youngae,Metals,Copper_resistance,Copper_resistance_protein,PCOD
ERR14783501,NODE_51_length_80971_cov_48.183588,gene:plasmid:117704;gene:plasmid:117783;gene:plasmid:91980;gene:plasmid:151656;gene:plasmid:154026;gene:plasmid:147500;gene:plasmid:24068;gene:plasmid:151472;gene:plasmid:155925;gene:plasmid:153903;gene:plasmid:92051;gene:plasmid:153905;gene:plasmid:153906;gene:plasmid:156772;gene:plasmid:149304;gene:proph:163816,Citrobacter youngae,Metals,Copper_resistance,Copper_resistance_regulator,PCOR
ERR14783501,NODE_51_length_80971_cov_48.183588,gene:plasmid:117704;gene:plasmid:117783;gene:plasmid:91980;gene:plasmid:151656;gene:plasmid:154026;gene:plasmid:147500;gene:plasmid:24068;gene:plasmid:151472;gene:plasmid:155925;gene:plasmid:153903;gene:plasmid:92051;gene:plasmid:153905;gene:plasmid:153906;gene:plasmid:156772;gene:plasmid:149304;gene:proph:163816,Citrobacter youngae,Metals,Copper_resistance,Copper_resistance_regulator,PCOS
ERR14783501,NODE_51_length_80971_cov_48.183588,gene:plasmid:117704;gene:plasmid:117783;gene:plasmid:91980;gene:plasmid:151656;gene:plasmid:154026;gene:plasmid:147500;gene:plasmid:24068;gene:plasmid:151472;gene:plasmid:155925;gene:plasmid:153903;gene:plasmid:92051;gene:plasmid:153905;gene:plasmid:153906;gene:plasmid:156772;gene:plasmid:149304;gene:proph:163816,Citrobacter youngae,Metals,Multi-metal_resistance,Multi-metal_resistance_regulator,PCOE
ERR11865475,NODE_804_length_2858_cov_9.175394,gene:plasmid:19384;gene:plasmid:145499,Other,Drugs,betalactams,Class_A_betalactamases,TEM
ERR11865508,NODE_519_length_3374_cov_4.303665,gene:plasmid:145499;gene:plasmid:19384,Other,Drugs,betalactams,Class_A_betalactamases,TEM
ERR11865503,NODE_583_length_2893_cov_12.599422,gene:plasmid:145499,Other,Drugs,betalactams,Class_A_betalactamases,TEM
ERR11865497,NODE_828_length_2437_cov_21.696104,gene:plasmid:145499,Other,Drugs,betalactams,Class_A_betalactamases,TEM
ERR11865509,NODE_1797_length_2842_cov_6.547330,gene:plasmid:19384;gene:plasmid:145499,Other,Drugs,betalactams,Class_A_betalactamases,TEM
ERR11865499,NODE_713_length_2460_cov_15.273468,gene:plasmid:145499,Other,Drugs,betalactams,Class_A_betalactamases,TEM
ERR11865495,NODE_402_length_3476_cov_4.568827,gene:plasmid:145499;gene:plasmid:19384,Other,Drugs,betalactams,Class_A_betalactamases,TEM
ERR11865473,NODE_646_length_4336_cov_47.799240,gene:plasmid:145499,Other,Drugs,betalactams,Class_A_betalactamases,TEM
ERR14783786,NODE_1526_length_4034_cov_1.727156,gene:plasmid:139560,Comamonas terrigena,Drugs,MLS,Macrolide-resistant_23S_rRNA_mutation,MLS23S
ERR14783446,NODE_95_length_24165_cov_2.769324,gene:plasmid:139560;gene:plasmid:117293,Croceicoccus sp. Ery5,Drugs,Aminoglycosides,Aminoglycoside-resistant_16S_ribosomal_subunit_protein,A16S
ERR14783446,NODE_95_length_24165_cov_2.769324,gene:plasmid:139560;gene:plasmid:117293,Croceicoccus sp. Ery5,Drugs,MLS,Macrolide-resistant_23S_rRNA_mutation,MLS23S
ERR14783408,NODE_1198_length_6002_cov_1.375489,gene:plasmid:155925,Cronobacter sakazakii,Metals,Multi-metal_resistance,Multi-metal_RND_efflux_regulator,SILS
ERR14783483,NODE_56_length_25818_cov_2.367249,gene:plasmid:123887,Duffyella gerundensis,Drugs,Rifampin,Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB,RPOB
ERR14783483,NODE_59_length_23958_cov_2.486299,gene:proph:176835,Duffyella gerundensis,Drugs,Elfamycins,EF-Tu_inhibition,TUFAB
ERR14783538,NODE_1048_length_8794_cov_11.034614,gene:plasmid:77695,Edwardsiella ictaluri,Metals,Multi-metal_resistance,Multi-metal_resistance_protein,ARSRM
ERR14783538,NODE_1048_length_8794_cov_11.034614,gene:plasmid:77695,Edwardsiella ictaluri,Metals,Multi-metal_resistance,Multi-metal_resistance_protein,ARSDM
ERR14783538,NODE_1048_length_8794_cov_11.034614,gene:plasmid:77695,Edwardsiella ictaluri,Metals,Multi-metal_resistance,Multi-metal_resistance_protein,ARSA
ERR14783538,NODE_1048_length_8794_cov_11.034614,gene:plasmid:77695,Edwardsiella ictaluri,Metals,Multi-metal_resistance,Multi-metal_resistance_protein,ARSBM
ERR14783538,NODE_1048_length_8794_cov_11.034614,gene:plasmid:77695,Edwardsiella ictaluri,Metals,Multi-metal_resistance,Multi-metal_resistance_protein,ARSCM
ERR14783787,NODE_841_length_7114_cov_1.576785,gene:plasmid:119594;gene:plasmid:90621;gene:plasmid:19944,Enterobacter chengduensis,Metals,Mercury_resistance,Mercury_resistance_regulator,MERD
ERR14783787,NODE_841_length_7114_cov_1.576785,gene:plasmid:119594;gene:plasmid:90621;gene:plasmid:19944,Enterobacter chengduensis,Metals,Mercury_resistance,Mercury_resistance_protein,MERE
SRR7287342,NODE_1_length_635644_cov_9.722350,gene:proph:173726;gene:proph:169464;gene:proph:169512;gene:plasmid:130030;gene:proph:169495;gene:proph:176833;gene:proph:176835;gene:proph:163818;gene:plasmid:93448;gene:proph:169507;gene:vir:105780;gene:vir:105774,Enterobacter hormaechei,Multi-compound,Drug_and_biocide_resistance,Drug_and_biocide_MFS_efflux_pumps,KDEA
SRR7287342,NODE_1_length_635644_cov_9.722350,gene:proph:173726;gene:proph:169464;gene:proph:169512;gene:plasmid:130030;gene:proph:169495;gene:proph:176833;gene:proph:176835;gene:proph:163818;gene:plasmid:93448;gene:proph:169507;gene:vir:105780;gene:vir:105774,Enterobacter hormaechei,Multi-compound,Drug_and_biocide_resistance,Drug_and_biocide_MATE_efflux_pumps,MDTK
SRR7287342,NODE_1_length_635644_cov_9.722350,gene:proph:173726;gene:proph:169464;gene:proph:169512;gene:plasmid:130030;gene:proph:169495;gene:proph:176833;gene:proph:176835;gene:proph:163818;gene:plasmid:93448;gene:proph:169507;gene:vir:105780;gene:vir:105774,Enterobacter hormaechei,Biocides,Phenolic_compound_resistance,Triclosan-resistant_mutation,FABG
SRR7287342,NODE_1_length_635644_cov_9.722350,gene:proph:173726;gene:proph:169464;gene:proph:169512;gene:plasmid:130030;gene:proph:169495;gene:proph:176833;gene:proph:176835;gene:proph:163818;gene:plasmid:93448;gene:proph:169507;gene:vir:105780;gene:vir:105774,Enterobacter hormaechei,Drugs,betalactams,Mutant_porin_proteins,OMPA
SRR7287342,NODE_1_length_635644_cov_9.722350,gene:proph:173726;gene:proph:169464;gene:proph:169512;gene:plasmid:130030;gene:proph:169495;gene:proph:176833;gene:proph:176835;gene:proph:163818;gene:plasmid:93448;gene:proph:169507;gene:vir:105780;gene:vir:105774,Enterobacter hormaechei,Drugs,betalactams,Mutant_porin_proteins,OMPK36
SRR7287342,NODE_2_length_573336_cov_9.786336,gene:plasmid:134726;gene:plasmid:134726;gene:plasmid:93469;gene:plasmid:93507;gene:plasmid:93509,Enterobacter hormaechei,Metals,Multi-metal_resistance,Multi-metal_resistance_protein,MNTH
SRR7287342,NODE_2_length_573336_cov_9.786336,gene:plasmid:134726;gene:plasmid:134726;gene:plasmid:93469;gene:plasmid:93507;gene:plasmid:93509,Enterobacter hormaechei,Drugs,Fluoroquinolones,Fluoroquinolone-resistant_DNA_topoisomerases,GYRA
SRR7287342,NODE_2_length_573336_cov_9.786336,gene:plasmid:134726;gene:plasmid:134726;gene:plasmid:93469;gene:plasmid:93507;gene:plasmid:93509,Enterobacter hormaechei,Drugs,betalactams,Mutant_porin_proteins,OMP36
SRR7287342,NODE_2_length_573336_cov_9.786336,gene:plasmid:134726;gene:plasmid:134726;gene:plasmid:93469;gene:plasmid:93507;gene:plasmid:93509,Enterobacter hormaechei,Multi-compound,Drug_and_biocide_resistance,Drug_and_biocide_ABC_efflux_pumps,YOGI
SRR7287342,NODE_2_length_573336_cov_9.786336,gene:plasmid:134726;gene:plasmid:134726;gene:plasmid:93469;gene:plasmid:93507;gene:plasmid:93509,Enterobacter hormaechei,Drugs,Multi-drug_resistance,Multi-drug_RND_efflux_regulator,ASMA
SRR7287342,NODE_2_length_573336_cov_9.786336,gene:plasmid:134726;gene:plasmid:134726;gene:plasmid:93469;gene:plasmid:93507;gene:plasmid:93509,Enterobacter hormaechei,Biocides,Multi-biocide_resistance,Multi-biocide_MATE_efflux_pump,EMMDR
SRR7287342,NODE_2_length_573336_cov_9.786336,gene:plasmid:134726;gene:plasmid:134726;gene:plasmid:93469;gene:plasmid:93507;gene:plasmid:93509,Enterobacter hormaechei,Multi-compound,Drug_and_biocide_and_metal_resistance,Drug_and_biocide_and_metal_RND_efflux_pumps,MDTB
SRR7287342,NODE_2_length_573336_cov_9.786336,gene:plasmid:134726;gene:plasmid:134726;gene:plasmid:93469;gene:plasmid:93507;gene:plasmid:93509,Enterobacter hormaechei,Multi-compound,Drug_and_biocide_and_metal_resistance,Drug_and_biocide_and_metal_RND_efflux_pumps,MDTC
SRR7287342,NODE_2_length_573336_cov_9.786336,gene:plasmid:134726;gene:plasmid:134726;gene:plasmid:93469;gene:plasmid:93507;gene:plasmid:93509,Enterobacter hormaechei,Multi-compound,Drug_and_biocide_and_metal_resistance,Drug_and_biocide_and_metal_RND_efflux_regulator,BAES
SRR7287342,NODE_2_length_573336_cov_9.786336,gene:plasmid:134726;gene:plasmid:134726;gene:plasmid:93469;gene:plasmid:93507;gene:plasmid:93509,Enterobacter hormaechei,Metals,Zinc_resistance,Zinc_resistance_protein,ZNUA
SRR7287342,NODE_6_length_270580_cov_17.913509,gene:plasmid:117701;gene:plasmid:117686;gene:plasmid:117671;gene:proph:176833;gene:proph:176835,Enterobacter hormaechei,Metals,Arsenic_resistance,Arsenic_resistance_protein,PSTC
SRR7287342,NODE_6_length_270580_cov_17.913509,gene:plasmid:117701;gene:plasmid:117686;gene:plasmid:117671;gene:proph:176833;gene:proph:176835,Enterobacter hormaechei,Metals,Arsenic_resistance,Arsenic_resistance_protein,PSTA
SRR7287342,NODE_6_length_270580_cov_17.913509,gene:plasmid:117701;gene:plasmid:117686;gene:plasmid:117671;gene:proph:176833;gene:proph:176835,Enterobacter hormaechei,Metals,Arsenic_resistance,Arsenic_resistance_protein,PSTB
